Script,subject,Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy
BR,0,1,3.1569029044423784,0.4014081632653061,2.041744357858385,0.5572742857142857
BR,0,2,1.8379021162500186,0.5388848979591837,0.7841422430163338,0.8097180952380952
BR,0,3,0.9373523235564329,0.7217102040816327,0.2715740315389065,0.9407580952380953
BR,0,4,0.5282480038051702,0.834745306122449,0.12630595218496662,0.9736952380952381
BR,0,5,0.348281658546657,0.8889648979591837,0.07415598504848424,0.985247619047619
BR,0,6,0.25345302020712773,0.9186367346938775,0.05179294146579646,0.9890742857142857
BR,0,7,0.19686746613073106,0.9367404081632653,0.03612881870842761,0.9928819047619047
BR,0,8,0.15953316389419595,0.948734693877551,0.026345581999935565,0.9949447619047619
BR,0,9,0.13361527488076566,0.9567648979591836,0.02024599617928089,0.9961447619047619
BR,0,10,0.11420078960251139,0.9633444897959184,0.01699167176575533,0.9966342857142857
