Script,subject,Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy
BR,1,1,6.973588302923709,0.0015910204081632654,6.899160841078985,0.0018476190476190476
BR,1,2,6.881590174421972,0.0026816326530612247,6.861945784069243,0.003744761904761905
BR,1,3,6.827535045584854,0.0059526530612244895,6.782489332744054,0.00783047619047619
BR,1,4,6.701576538825521,0.01113469387755102,6.59724992615836,0.015746666666666666
BR,1,5,6.4149015539130385,0.025617142857142856,6.18110826764788,0.039908571428571425
BR,1,6,5.801655787604195,0.07458285714285715,5.356048756281535,0.12234285714285714
BR,1,7,4.816409849322572,0.20066367346938777,4.27473770341419,0.28790095238095237
BR,1,8,3.768203342437744,0.3698008163265306,3.301217904499599,0.43795809523809526
BR,1,9,2.88915910968002,0.48531102040816326,2.493675659929003,0.52868
BR,1,10,2.1252977465999368,0.5790644897959184,1.7683225784982954,0.6348228571428571
BR,1,11,1.4548597362771327,0.6982244897959183,1.1690032686392466,0.7605828571428571
BR,1,12,0.9457532227963817,0.8128440816326531,0.754194497534207,0.8563752380952381
BR,1,13,0.6160661143648382,0.8887942857142858,0.5013075918810708,0.9140952380952381
BR,1,14,0.4200350814181931,0.9316889795918367,0.3528223031702496,0.9451885714285714
BR,1,15,0.3030935902072459,0.9553787755102041,0.2622483051021894,0.9629485714285714
